HSHEET,YEAR,Longitude (Geographic NAD83),Latitude (Geographic NAD83),Longitude (UTM NAD83),Latitude (UTM NAD83),Historical sounding (Mean lower low water),LiDAR elevation (Mean lower low water),Difference = LiDAR - Historical
H08576,1961,156.49036W,20.93623N,760996.6885,2317133.246,-4.6768,-5.750000477,-1.073200477
H08576,1961,156.49045W,20.93150N,760995.8362,2316609.471,-4.6768,-4.730000496,-0.053200496
H08576,1961,156.43125W,20.91743N,767181.1348,2315149.295,-9.5768,-10.19100094,-0.614200938
H08576,1961,156.46648W,20.90402N,763537.6205,2313605.104,-3.8768,-5.042000294,-1.165200294
H08576,1961,156.43819W,20.91819N,766457.388,2315221.249,-5.1768,-5.990000248,-0.813200248
H08576,1961,156.43783W,20.91879N,766494.0942,2315288.748,-5.7768,-6.770000458,-0.993200458
H08576,1961,156.49195W,20.94055N,760823.871,2317608.882,-9.9768,-10.42100048,-0.444200481
H08576,1961,156.46538W,20.90723N,763646.787,2313962.987,-8.0768,-8.794000626,-0.717200626
H08576,1961,156.43598W,20.92221N,766679.7269,2315670.261,-11.3768,-12.73900032,-1.36220032
H08576,1961,156.43083W,20.92143N,767217.3331,2315592.677,-5.5768,-6.02300024,-0.44620024
H08576,1961,156.44117W,20.90665N,766167.3465,2313938.74,-2.0768,-1.800000191,0.276799809
H08576,1961,156.43883W,20.92007N,766386.8447,2315427.951,-8.0768,-8.879000664,-0.802200664
H08576,1961,156.42775W,20.92320N,767534.6064,2315793.076,-7.7768,-7.976000309,-0.199200309
H08576,1961,156.44999W,20.90955N,765244.2412,2314244.758,-10.8768,-11.88300037,-1.006200374
H08576,1961,156.42272W,20.92887N,768048.4487,2316429.918,-16.3768,-17.33800125,-0.961201251
H08576,1961,156.42891W,20.92061N,767418.8963,2315505.287,-6.6768,-7.940000534,-1.263200534
H08576,1961,156.48437W,20.93765N,761618.0871,2317300.518,-14.1768,-14.7680006,-0.591200603
H08576,1961,156.48776W,20.93278N,761273.7247,2316755.289,-7.1768,-7.850000381,-0.673200381
H08576,1961,156.42429W,20.92502N,767891.6258,2316000.435,-10.2768,-11.43800068,-1.161200679
H08576,1961,156.43020W,20.92547N,767275.4149,2316040.731,-9.9768,-11.12000084,-1.143200839
H08576,1961,156.42512W,20.91816N,767817.237,2315240.036,-7.7768,-8.268000603,-0.491200603
H08576,1961,156.48994W,20.93680N,761039.6043,2317197.283,-6.6768,-6.78000021,-0.10320021
H08576,1961,156.48382W,20.93405N,761681.8875,2316902.603,-10.6768,-11.33400059,-0.657200588
H08576,1961,156.46981W,20.90426N,763191.3653,2313626.671,-14.1768,-14.99200058,-0.81520058
H08576,1961,156.49190W,20.93600N,760837.0602,2317105.378,-4.6768,-5.639000416,-0.962200416
H08576,1961,156.49000W,20.93886N,761029.6922,2317424.779,-9.1768,-11.64000034,-2.463200343
H08576,1961,156.48900W,20.93939N,761133.6401,2317485.785,-9.3768,-12.29200077,-2.915200771
H08576,1961,156.48564W,20.93966N,761481.9337,2317521.047,-17.6768,-17.88500023,-0.208200229
H08576,1961,156.48936W,20.93268N,761107.7196,2316742.274,-7.1768,-7.052000523,0.124799477
H08576,1961,156.45420W,20.90958N,764805.9579,2314241.01,-16.1768,-18,-1.8232
H08576,1961,156.43733W,20.91540N,766551.4003,2314913.888,-4.8768,-5.566000462,-0.689200462
H08576,1961,156.42524W,20.92159N,767798.5526,2315619.282,-4.4768,-2.516000271,1.960799729
H08576,1961,156.43854W,20.91145N,766432.5785,2314473.954,-2.0768,-2.821000099,-0.744200099
H08576,1961,156.42692W,20.91918N,767628.744,2315349.345,-4.8768,-5.479000092,-0.602200092
H08576,1961,156.42809W,20.92676N,767493.1067,2316186.912,-10.4768,-12.32000065,-1.843200649
H08576,1961,156.42825W,20.91616N,767495.5889,2315013.307,-8.0768,-6.01900053,2.05779947
H08576,1961,156.43538W,20.92463N,766738.816,2315939.08,-16.5768,-17.93500137,-1.358201373
H08576,1961,156.48957W,20.93571N,761080.2064,2317076.838,-5.5768,-6.797000408,-1.220200408
H08576,1961,156.48934W,20.93619N,761103.6046,2317131.154,-6.9768,-7.61700058,-0.64020058
H08576,1961,156.48585W,20.93642N,761466.554,2317161.438,-10.8768,-12.36300087,-1.48620087
H08576,1961,156.48643W,20.93790N,761403.0055,2317324.726,-11.7768,-14.58700085,-2.810200847
H08576,1961,156.49166W,20.93369N,760865.8229,2316850.262,-3.8768,-4.538000107,-0.661200107
H08576,1961,156.46602W,20.90440N,763585.4445,2313648.509,-4.8768,-5.355000496,-0.478200496
H08576,1961,156.46650W,20.90343N,763536.9782,2313540.287,-4.2768,-4.485000134,-0.208200134
H08576,1961,156.43330W,20.91663N,766968.6092,2315056.49,-4.8768,-5.443000317,-0.566200317
H08576,1961,156.48770W,20.93840N,761270.2094,2317377.811,-9.7768,-11.88700104,-2.110201038
H08576,1961,156.48672W,20.93843N,761372.3205,2317383.401,-14.6768,-15.86400127,-1.187201274
H08576,1961,156.48900W,20.94207N,761128.5805,2317782.039,-14.6768,-16.53100014,-1.854200137
H08576,1961,156.49411W,20.94112N,760598.1352,2317669.269,-8.6768,-9.224000931,-0.547200931
H08576,1961,156.49259W,20.94045N,760758.2743,2317597.664,-10.6768,-9.892000198,0.784799802
H08576,1961,156.45591W,20.90722N,764632.7684,2313976.929,-7.5768,-8.995000839,-1.418200839
H08576,1961,156.43763W,20.91582N,766520.1607,2314960.25,-10.6768,-11.47000027,-0.793200267
H08576,1961,156.43091W,20.92250N,767207.7319,2315711.173,-6.6768,-8.098999977,-1.422199977
H08576,1961,156.43300W,20.92341N,766988.5397,2315807.699,-8.6768,-9.248000145,-0.571200145
H08576,1961,156.43594W,20.91515N,766697.1217,2314888.299,-3.7768,-6.360000134,-2.583200134
H08576,1961,156.43680W,20.92351N,766592.2981,2315813.214,-13.4768,-13.68800068,-0.211200679
H08576,1961,156.43793W,20.92289N,766475.8168,2315742.112,-15.5768,-17.84200096,-2.265200961
H08576,1961,156.42490W,20.92484N,767828.9829,2315979.93,-9.3768,-9.693000793,-0.316200793
H08576,1961,156.43928W,20.91033N,766358.058,2314349.352,-2.6768,-2.628000259,0.048799741
H08576,1961,156.43901W,20.91962N,766369.7367,2315378.157,-7.3768,-8.262000084,-0.885200084
H08576,1961,156.43448W,20.91848N,766842.7379,2315259.758,-8.4768,-8.220000267,0.256799733
H08576,1961,156.43509W,20.91893N,766778.4621,2315308.582,-3.8768,-4.673000336,-0.796200336
H08576,1961,156.43968W,20.91656N,766305.1029,2315038.795,-4.0768,-4.617000103,-0.540200103
H08576,1961,156.42397W,20.91870N,767935.6397,2315301.65,-4.6768,-4.907000065,-0.230200065
H08576,1961,156.42474W,20.92748N,767840.3074,2316272.804,-12.8768,-13.25300026,-0.376200259
H08576,1961,156.42935W,20.91919N,767374.9177,2315346.272,-4.8768,-6.134000301,-1.257200301
H08576,1961,156.42960W,20.91610N,767354.9938,2315004.738,-6.8768,-6.940000534,-0.063200534
H08576,1961,156.48669W,20.93589N,761379.341,2317101.689,-11.7768,-12.07900047,-0.302200473
H08576,1961,156.48737W,20.93786N,761305.4722,2317319.208,-11.2768,-12.09900093,-0.822200931
H08576,1961,156.48844W,20.93654N,761196.64,2317171.385,-7.7768,-9.048000336,-1.271200336
H08576,1961,156.48521W,20.93505N,761534.9934,2317011.52,-9.3768,-11.08700085,-1.710200847
